id	gene	loc	timeline	group
#methods	no	no	no	no
#descriptions	gene name	leaf_or_stem	week	group
adt3456_L_2wk	adt3456	L	2	adt3456_L
adt3456_L_4wk	adt3456	L	4	adt3456_L
adt3456_L_6wk	adt3456	L	6	adt3456_L
adt3456_S_4wk	adt3456	S	4	adt3456_S
adt3456_S_6wk	adt3456	S	6	adt3456_S
adt3456_S_8wk	adt3456	S	8	adt3456_S
AtADT5mW_L_2wk	AtADT5mW	L	2	AtADT5mW_L
AtADT5mW_L_4wk	AtADT5mW	L	4	AtADT5mW_L
AtADT5mW_L_6wk	AtADT5mW	L	6	AtADT5mW_L
AtADT5mW_S_4wk	AtADT5mW	S	4	AtADT5mW_S
AtADT5mW_S_6wk	AtADT5mW	S	6	AtADT5mW_S
AtADT5mW_S_8wk	AtADT5mW	S	8	AtADT5mW_S
