id,uniprot,gene
K00001_Tran,A1L4Y2,AT1G32780
K00001_WC,A1L4Y2,AT1G32780
K00006_Tran,Q949Q0,AT2G40690
K00006_WC,Q949Q0,AT2G40690
K00008_Tran,Q9FJ95,AT5G51970
K00008_WC,Q9FJ95,AT5G51970
K00012_Tran,Q9FZE1,AT1G26570
K00012_WC,Q9FZE1,AT1G26570
K00012_phos,Q9FZE1,AT1G26570
K00013_Tran,Q9C5U8,AT5G63890
K00013_WC,Q9C5U8,AT5G63890
K00016_Tran,O23569,AT4G17260
K00016_WC,O23569,AT4G17260
K00020_Tran,Q9SUC0,AT4G20930
K00020_WC,Q9SUC0,AT4G20930
K00021_Tran,P14891,AT1G76490
K00021_WC,P14891,AT1G76490
K00025_Tran,P93819,AT1G04410
K00025_WC,P93819,AT1G04410
K00026_Tran,Q9ZP06,AT1G53240
K00026_WC,Q9ZP06,AT1G53240
K00028_Tran,Q9SIU0,AT2G13560
K00028_WC,Q9SIU0,AT2G13560
K00029_Tran,Q9CA83,AT1G79750
K00029_WC,Q9CA83,AT1G79750
K00029_phos,Q9CA83,AT1G79750
K00030_Tran,Q9LQK9,AT1G32480
K00030_WC,Q9LQK9,AT1G32480
K00031_Tran,Q9SLK0,AT1G54340
K00031_WC,Q9SLK0,AT1G54340
K00033_Tran,Q9SH69,AT1G64190
K00033_WC,Q9SH69,AT1G64190
K00033_phos,Q9SH69,AT1G64190
K00036_Tran,F4I0Y8,AT1G09420
K00036_WC,F4I0Y8,AT1G09420
K00036_phos,F4I0Y8,AT1G09420
K00051_Tran,Q9LVL7,AT5G58330
K00051_WC,Q9LVL7,AT5G58330
K00052_Tran,Q9SA14,AT1G31180
K00052_WC,Q9SA14,AT1G31180
K00052_phos,Q9SA14,AT1G31180
K00053_Tran,Q05758,AT3G58610
K00053_WC,Q05758,AT3G58610
K00058_Tran,O04130,AT1G17745
K00058_WC,O04130,AT1G17745
K00058_phos,O04130,AT1G17745
K00059_Tran,P33207,AT1G24360
K00059_WC,P33207,AT1G24360
K00074_Tran,Q9LDF5,AT3G15290
K00074_WC,Q9LDF5,AT3G15290
K00083_Tran,Q9CAI3,AT1G72680
K00083_WC,Q9CAI3,AT1G72680
K00088_Tran,Q9SA34,AT1G16350
K00088_WC,Q9SA34,AT1G16350
K00099_Tran,F4K7T6,AT5G62790
K00099_WC,F4K7T6,AT5G62790
K00102_Tran,Q94AX4,AT5G06580
K00102_WC,Q94AX4,AT5G06580
K00106_Tran,Q8GUQ8,AT4G34890
K00106_WC,Q8GUQ8,AT4G34890
K00111_Tran,Q9SS48,AT3G10370
K00111_WC,Q9SS48,AT3G10370
K00121_Tran,Q9SK86,AT1G22430
K00121_WC,Q9SK86,AT1G22430
K00122_Tran,Q9S7E4,AT5G14780
K00122_WC,Q9S7E4,AT5G14780
K00122_phos,Q9S7E4,AT5G14780
K00128_Tran,Q8S528,AT1G23800
K00128_WC,Q8S528,AT1G23800
K00130_Tran,F4HXD2,AT1G74920
K00130_WC,F4HXD2,AT1G74920
K00131_WC,Q1WIQ6,AT2G24270
K00133_Tran,Q8VYI4,AT1G14810
K00133_WC,Q8VYI4,AT1G14810
K00133_phos,Q8VYI4,AT1G14810
K00134_Tran,F4HQT1,AT1G13440
K00134_WC,F4HQT1,AT1G13440
K00134_phos,F4HQT1,AT1G13440
K00140_Tran,A8MQR6,AT2G14170
K00140_WC,A8MQR6,AT2G14170
K00145_Tran,Q93Z70,AT2G19940
K00145_WC,Q93Z70,AT2G19940
K00161_Tran,O24457,AT1G01090
K00161_WC,O24457,AT1G01090
K00161_phos,O24457,AT1G01090
K00162_Tran,Q9C6Z3,AT1G30120
K00162_WC,Q9C6Z3,AT1G30120
K00164_Tran,F4IWV2,AT3G55410
K00164_WC,F4IWV2,AT3G55410
K00166_Tran,Q9LPL5,AT1G21400
K00166_WC,Q9LPL5,AT1G21400
K00167_Tran,Q9SAV3,AT1G55510
K00167_WC,Q9SAV3,AT1G55510
K00207_Tran,Q9LVI9,AT3G17810
K00207_WC,Q9LVI9,AT3G17810
K00208_Tran,Q9SLA8,AT2G05990
K00208_WC,Q9SLA8,AT2G05990
K00208_phos,Q9SLA8,AT2G05990
K00213_Tran,A8MS34,AT1G50430
K00213_WC,A8MS34,AT1G50430
K00215_Tran,O80574,AT2G44040
K00215_WC,O80574,AT2G44040
K00218_Tran,F4I2F8,AT1G03630
K00218_WC,F4I2F8,AT1G03630
K00222_Tran,Q9LDR4,AT3G52940
K00225_Tran,Q9SU56,AT3G47930
K00225_WC,Q9SU56,AT3G47930
K00227_Tran,Q67XU7,AT3G02580
K00228_Tran,Q9LR75,AT1G03475
K00228_WC,Q9LR75,AT1G03475
K00231_Tran,P55826,AT4G01690
K00231_WC,P55826,AT4G01690
K00232_Tran,P0CZ23,AT1G06290
K00232_WC,P0CZ23,AT1G06290
K00234_Tran,Q9ZPX5,AT2G18450
K00234_WC,Q9ZPX5,AT2G18450
K00235_Tran,Q8LBZ7,AT3G27380
K00235_WC,Q8LBZ7,AT3G27380
K00236_Tran,P0DKI1,AT4G32210
K00249_Tran,Q8RWZ3,AT3G06810
K00249_WC,Q8RWZ3,AT3G06810
K00253_Tran,Q9SWG0,AT3G45300
K00253_WC,Q9SWG0,AT3G45300
K00254_Tran,P32746,AT5G23300
K00254_WC,P32746,AT5G23300
K00261_Tran,Q9S7A0,AT3G03910
K00261_WC,Q9S7A0,AT3G03910
K00262_Tran,F4I9M9,AT1G51720
K00264_Tran,Q9LV03,AT5G53460
K00264_WC,Q9LV03,AT5G53460
K00275K17759_WC,,K00275K17759
K00276_Tran,Q9C6V7,AT1G31670
K00276_WC,Q9C6V7,AT1G31670
K00278_Tran,Q94AY1,AT5G14760
K00279_Tran,F4HZ40,AT1G75450
K00279_WC,F4HZ40,AT1G75450
K00281_Tran,O80988,AT2G26080
K00281_WC,O80988,AT2G26080
K00284_Tran,Q9T0P4,AT2G41220
K00284_WC,Q9T0P4,AT2G41220
K00284_phos,Q9T0P4,AT2G41220
K00286_Tran,F4K884,AT5G14800
K00286_WC,F4K884,AT5G14800
K00286_phos,F4K884,AT5G14800
K00294_Tran,Q8VZC3,AT5G62530
K00294_WC,Q8VZC3,AT5G62530
K00297_Tran,O80585,AT2G44160
K00297_WC,O80585,AT2G44160
K00297_phos,O80585,AT2G44160
K00306_Tran,Q9SJA7,AT2G24580
K00306_WC,Q9SJA7,AT2G24580
K00306_phos,Q9SJA7,AT2G24580
K00318_Tran,P92983,AT3G30775
K00318_WC,P92983,AT3G30775
K00326_Tran,Q9ZNT1,AT5G17770
K00326_WC,Q9ZNT1,AT5G17770
K00365_Tran,O04420,AT2G26230
K00365_WC,O04420,AT2G26230
K00366_Tran,Q39161,AT2G15620
K00366_WC,Q39161,AT2G15620
K00382_Tran,Q9M5K3,AT1G48030
K00382_WC,Q9M5K3,AT1G48030
K00383_Tran,P48641,AT3G24170
K00383_WC,P48641,AT3G24170
K00384_Tran,Q39242,AT2G17420
